total_position_B_60,total_position_A_60,total_xp_B_60,total_xp_A_60,total_level_B_60,total_level_A_60,total_goldEarned_B_60,total_goldEarned_A_60,total_minionsKilled_B_60,total_minionsKilled_A_60,CHAMPION_KILL_B_60,CHAMPION_KILL_A_60,WARD_PLACED_B_60,WARD_PLACED_A_60,WARD_KILL_B_60,WARD_KILL_A_60,BUILDING_KILL_B_60,BUILDING_KILL_A_60,ELITE_MONSTER_KILL_B_60,ELITE_MONSTER_KILL_A_60,ITEM_PURCHASED_B_60,ITEM_PURCHASED_A_60,ITEM_SOLD_B_60,ITEM_SOLD_A_60,ITEM_DESTROYED_B_60,ITEM_DESTROYED_A_60,ITEM_UNDO_B_60,ITEM_UNDO_A_60,SKILL_LEVEL_UP_B_60,SKILL_LEVEL_UP_A_60,win,gameDuration,gameDuration_targetlabel
,,52691.0,38786.0,63.0,55.0,44594.0,30608.0,573.0,379.0,29.0,10.0,45.0,38.0,2.0,2.0,8.0,0.0,3.0,0.0,72.0,75.0,2.0,2.0,31.0,34.0,0.0,4.0,63.0,55.0,False,24.0,1
,,50195.0,40195.0,62.0,55.0,52272.0,34026.0,531.0,441.0,39.0,17.0,44.0,79.0,33.0,8.0,7.0,0.0,1.0,2.0,93.0,87.0,9.0,1.0,58.0,48.0,2.0,0.0,63.0,55.0,False,23.0,1
,,54087.0,66122.0,65.0,74.0,45644.0,59405.0,649.0,625.0,20.0,34.0,75.0,51.0,15.0,16.0,1.0,7.0,2.0,3.0,91.0,99.0,7.0,2.0,60.0,48.0,1.0,1.0,66.0,74.0,True,30.0,2
,,49730.0,40674.0,63.0,55.0,46681.0,31715.0,591.0,389.0,28.0,11.0,44.0,29.0,8.0,5.0,9.0,0.0,3.0,0.0,81.0,71.0,1.0,0.0,35.0,29.0,7.0,4.0,65.0,54.0,False,22.0,1
,,70453.0,60394.0,76.0,69.0,58694.0,54323.0,649.0,709.0,36.0,28.0,101.0,73.0,14.0,8.0,7.0,5.0,4.0,2.0,114.0,93.0,5.0,3.0,57.0,51.0,6.0,1.0,76.0,69.0,False,30.0,2
,,61694.0,71094.0,71.0,76.0,49427.0,62585.0,689.0,770.0,22.0,37.0,51.0,60.0,23.0,12.0,1.0,13.0,1.0,6.0,104.0,101.0,0.0,3.0,60.0,68.0,5.0,3.0,71.0,75.0,True,31.0,2
,,57867.0,45853.0,67.0,61.0,46943.0,39925.0,618.0,609.0,26.0,19.0,40.0,42.0,5.0,4.0,5.0,3.0,3.0,3.0,87.0,85.0,6.0,1.0,54.0,48.0,7.0,8.0,65.0,63.0,False,24.0,1
,,53034.0,61378.0,64.0,70.0,40917.0,51835.0,586.0,603.0,17.0,29.0,48.0,51.0,2.0,9.0,1.0,7.0,0.0,5.0,82.0,84.0,15.0,3.0,44.0,39.0,9.0,6.0,64.0,70.0,True,27.0,1
,,82766.0,75490.0,82.0,79.0,71315.0,72791.0,950.0,775.0,44.0,35.0,74.0,82.0,25.0,22.0,4.0,10.0,4.0,3.0,133.0,118.0,12.0,7.0,81.0,81.0,6.0,1.0,82.0,79.0,True,36.0,2
,,32034.0,52823.0,49.0,65.0,21795.0,49522.0,85.0,317.0,6.0,57.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,25.0,38.0,0.0,0.0,20.0,13.0,0.0,0.0,49.0,63.0,True,24.0,1
,,48528.0,72305.0,63.0,76.0,25988.0,59021.0,142.0,382.0,2.0,59.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,40.0,0.0,0.0,20.0,15.0,0.0,0.0,63.0,74.0,True,32.0,2
,,53733.0,61753.0,64.0,66.0,45652.0,50440.0,382.0,402.0,27.0,42.0,486.0,8.0,1.0,0.0,5.0,7.0,0.0,0.0,60.0,72.0,0.0,2.0,46.0,29.0,0.0,0.0,64.0,64.0,True,31.0,2
128987.0,106582.0,19970.0,37992.0,37.0,54.0,16536.0,39582.0,68.0,221.0,3.0,48.0,0.0,33.0,0.0,0.0,0.0,4.0,0.0,0.0,25.0,39.0,0.0,0.0,20.0,11.0,0.0,0.0,37.0,52.0,True,19.0,0
,,75520.0,57467.0,78.0,69.0,61388.0,46492.0,680.0,647.0,40.0,12.0,43.0,46.0,10.0,9.0,10.0,3.0,6.0,3.0,103.0,98.0,7.0,5.0,58.0,46.0,3.0,3.0,78.0,70.0,False,32.0,2
130740.0,72362.0,29064.0,38238.0,46.0,48.0,22336.0,39482.0,108.0,204.0,6.0,35.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,25.0,21.0,0.0,0.0,17.0,9.0,0.0,0.0,46.0,43.0,True,23.0,1
,,57076.0,47750.0,67.0,62.0,50832.0,39492.0,708.0,569.0,29.0,16.0,52.0,35.0,10.0,8.0,8.0,2.0,6.0,0.0,80.0,86.0,1.0,2.0,43.0,45.0,5.0,2.0,66.0,64.0,False,25.0,1
,,63584.0,70883.0,71.0,75.0,52178.0,60257.0,695.0,688.0,26.0,44.0,64.0,88.0,7.0,22.0,2.0,8.0,2.0,3.0,93.0,108.0,9.0,5.0,50.0,62.0,4.0,3.0,71.0,74.0,True,31.0,2
,,76245.0,89176.0,79.0,85.0,71772.0,78301.0,591.0,756.0,57.0,62.0,117.0,69.0,9.0,26.0,4.0,9.0,3.0,4.0,143.0,123.0,10.0,11.0,84.0,58.0,3.0,6.0,79.0,88.0,True,37.0,2
131369.0,72276.0,26451.0,41226.0,41.0,54.0,19950.0,36481.0,119.0,202.0,4.0,28.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,25.0,24.0,0.0,0.0,13.0,9.0,0.0,0.0,41.0,48.0,True,21.0,1
,,96197.0,102340.0,89.0,89.0,78407.0,79815.0,685.0,745.0,63.0,56.0,85.0,562.0,4.0,4.0,8.0,7.0,1.0,6.0,110.0,97.0,10.0,3.0,50.0,43.0,1.0,0.0,89.0,89.0,True,44.0,2
,,48990.0,61533.0,62.0,70.0,44077.0,55184.0,467.0,605.0,29.0,45.0,40.0,119.0,7.0,2.0,2.0,9.0,0.0,5.0,101.0,93.0,1.0,4.0,52.0,50.0,2.0,2.0,62.0,70.0,True,27.0,1
,,39228.0,21967.0,55.0,40.0,36186.0,20361.0,513.0,269.0,19.0,4.0,50.0,61.0,8.0,10.0,7.0,0.0,2.0,0.0,63.0,54.0,0.0,0.0,36.0,24.0,0.0,6.0,54.0,40.0,False,19.0,0
,,48072.0,33316.0,61.0,49.0,47414.0,30317.0,516.0,366.0,40.0,14.0,52.0,21.0,3.0,7.0,7.0,0.0,4.0,0.0,69.0,77.0,4.0,5.0,36.0,46.0,0.0,1.0,60.0,50.0,False,20.0,1
